
21. Printing statistics.

=== aes128 ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
    14184        -    14184        - wires
    14565        -    14565        - wire bits
      268        -      268        - public wires
      649        -      649        - public wire bits
        7        -        7        - ports
      388        -      388        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
    14304 9.24E+04    14304 9.24E+04 cells
       11  123.869       11  123.869   sky130_fd_sc_hd__a2111o_1
      101  884.598      101  884.598   sky130_fd_sc_hd__a2111oi_0
        1   15.014        1   15.014   sky130_fd_sc_hd__a2111oi_2
       70  613.088       70  613.088   sky130_fd_sc_hd__a211o_1
      307  2304.71      307  2304.71   sky130_fd_sc_hd__a211oi_1
        7   87.584        7   87.584   sky130_fd_sc_hd__a211oi_2
        2   20.019        2   20.019   sky130_fd_sc_hd__a21bo_1
        3   30.029        3   30.029   sky130_fd_sc_hd__a21bo_2
       61  457.939       61  457.939   sky130_fd_sc_hd__a21boi_0
      101  758.227      101  758.227   sky130_fd_sc_hd__a21o_1
     1692 8.47E+03     1692 8.47E+03   sky130_fd_sc_hd__a21oi_1
        2   17.517        2   17.517   sky130_fd_sc_hd__a21oi_2
       70  700.672       70  700.672   sky130_fd_sc_hd__a221o_1
      241 2.11E+03      241 2.11E+03   sky130_fd_sc_hd__a221oi_1
        2   30.029        2   30.029   sky130_fd_sc_hd__a221oi_2
       28  280.269       28  280.269   sky130_fd_sc_hd__a222oi_1
       49  429.162       49  429.162   sky130_fd_sc_hd__a22o_1
      162 1.22E+03      162 1.22E+03   sky130_fd_sc_hd__a22oi_1
       45  394.128       45  394.128   sky130_fd_sc_hd__a2bb2oi_1
       19  190.182       19  190.182   sky130_fd_sc_hd__a311o_1
       71  621.846       71  621.846   sky130_fd_sc_hd__a311oi_1
        5   75.072        5   75.072   sky130_fd_sc_hd__a311oi_2
        2    52.55        2    52.55   sky130_fd_sc_hd__a311oi_4
        1    8.758        1    8.758   sky130_fd_sc_hd__a31o_1
       16  140.134       16  140.134   sky130_fd_sc_hd__a31o_2
      235  1470.16      235  1470.16   sky130_fd_sc_hd__a31oi_1
       23  230.221       23  230.221   sky130_fd_sc_hd__a32o_1
      122 1.07E+03      122 1.07E+03   sky130_fd_sc_hd__a32oi_1
        2   32.531        2   32.531   sky130_fd_sc_hd__a32oi_2
        3   30.029        3   30.029   sky130_fd_sc_hd__a41o_1
       15  131.376       15  131.376   sky130_fd_sc_hd__a41oi_1
       12   75.072       12   75.072   sky130_fd_sc_hd__and2_0
      110   688.16      110   688.16   sky130_fd_sc_hd__and2_1
        1    8.758        1    8.758   sky130_fd_sc_hd__and2_4
        3   22.522        3   22.522   sky130_fd_sc_hd__and2b_1
       58  362.848       58  362.848   sky130_fd_sc_hd__and3_1
       22  192.685       22  192.685   sky130_fd_sc_hd__and3b_1
        5   43.792        5   43.792   sky130_fd_sc_hd__and4_1
        1   11.261        1   11.261   sky130_fd_sc_hd__and4_4
        5   50.048        5   50.048   sky130_fd_sc_hd__and4b_1
      178  668.141      178  668.141   sky130_fd_sc_hd__buf_1
      752  3763.61      752  3763.61   sky130_fd_sc_hd__buf_2
       60  450.432       60  450.432   sky130_fd_sc_hd__buf_4
       23  258.998       23  258.998   sky130_fd_sc_hd__buf_6
      795 2.98E+03      795 2.98E+03   sky130_fd_sc_hd__clkbuf_1
        2    10.01        2    10.01   sky130_fd_sc_hd__clkbuf_2
       25    93.84       25    93.84   sky130_fd_sc_hd__clkinv_1
      390 7.81E+03      390 7.81E+03   sky130_fd_sc_hd__dfxtp_1
        2   25.024        2   25.024   sky130_fd_sc_hd__ha_1
      143  536.765      143  536.765   sky130_fd_sc_hd__inv_1
       22   82.579       22   82.579   sky130_fd_sc_hd__inv_2
        9   90.086        9   90.086   sky130_fd_sc_hd__maj3_1
        1   11.261        1   11.261   sky130_fd_sc_hd__mux2_1
       29  326.563       29  326.563   sky130_fd_sc_hd__mux2_2
       72  720.691       72  720.691   sky130_fd_sc_hd__mux2i_1
       16  360.346       16  360.346   sky130_fd_sc_hd__mux4_2
     1146  4.3E+03     1146  4.3E+03   sky130_fd_sc_hd__nand2_1
        2   12.512        2   12.512   sky130_fd_sc_hd__nand2_2
      427 2.67E+03      427 2.67E+03   sky130_fd_sc_hd__nand2b_1
        2   17.517        2   17.517   sky130_fd_sc_hd__nand2b_2
      244 1.22E+03      244 1.22E+03   sky130_fd_sc_hd__nand3_1
       60  450.432       60  450.432   sky130_fd_sc_hd__nand3b_1
       42  262.752       42  262.752   sky130_fd_sc_hd__nand4_1
       16  140.134       16  140.134   sky130_fd_sc_hd__nand4b_1
        2   22.522        2   22.522   sky130_fd_sc_hd__nand4bb_1
     1036  3888.73     1036  3888.73   sky130_fd_sc_hd__nor2_1
        4   25.024        4   25.024   sky130_fd_sc_hd__nor2_2
      400   2502.4      400   2502.4   sky130_fd_sc_hd__nor2b_1
      275  1376.32      275  1376.32   sky130_fd_sc_hd__nor3_1
       57   427.91       57   427.91   sky130_fd_sc_hd__nor3b_1
       43  269.008       43  269.008   sky130_fd_sc_hd__nor4_1
        1   12.512        1   12.512   sky130_fd_sc_hd__nor4_2
        3   63.811        3   63.811   sky130_fd_sc_hd__nor4_4
       17  148.893       17  148.893   sky130_fd_sc_hd__nor4b_1
        6   60.058        6   60.058   sky130_fd_sc_hd__nor4bb_1
        4   45.043        4   45.043   sky130_fd_sc_hd__o2111a_1
       80  700.672       80  700.672   sky130_fd_sc_hd__o2111ai_1
