
21. Printing statistics.

=== sha256 ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
    15251        -    15251        - wires
    16017        -    16017        - wire bits
     2318        -     2318        - public wires
     3084        -     3084        - public wire bits
        6        -        6        - ports
      772        -      772        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
    15170 1.66E+05    15170 1.66E+05 cells
        1   11.261        1   11.261   sky130_fd_sc_hd__a2111o_1
        6    52.55        6    52.55   sky130_fd_sc_hd__a2111oi_0
        3   26.275        3   26.275   sky130_fd_sc_hd__a211o_1
       37  277.766       37  277.766   sky130_fd_sc_hd__a211oi_1
        2   20.019        2   20.019   sky130_fd_sc_hd__a21bo_2
       11   82.579       11   82.579   sky130_fd_sc_hd__a21boi_0
       63  472.954       63  472.954   sky130_fd_sc_hd__a21o_1
      386 1.93E+03      386 1.93E+03   sky130_fd_sc_hd__a21oi_1
        6   60.058        6   60.058   sky130_fd_sc_hd__a221o_1
       12  105.101       12  105.101   sky130_fd_sc_hd__a221oi_1
        1    10.01        1    10.01   sky130_fd_sc_hd__a222oi_1
        3   26.275        3   26.275   sky130_fd_sc_hd__a22o_1
      494 3.71E+03      494 3.71E+03   sky130_fd_sc_hd__a22oi_1
        1    10.01        1    10.01   sky130_fd_sc_hd__a311o_1
        5   43.792        5   43.792   sky130_fd_sc_hd__a311oi_1
        2   17.517        2   17.517   sky130_fd_sc_hd__a31o_2
       48  300.288       48  300.288   sky130_fd_sc_hd__a31oi_1
        2   17.517        2   17.517   sky130_fd_sc_hd__a32oi_1
        7   61.309        7   61.309   sky130_fd_sc_hd__a41oi_1
        3   18.768        3   18.768   sky130_fd_sc_hd__and2_0
       25    156.4       25    156.4   sky130_fd_sc_hd__and2_1
       23  143.888       23  143.888   sky130_fd_sc_hd__and3_1
        1    8.758        1    8.758   sky130_fd_sc_hd__and3b_1
        6    52.55        6    52.55   sky130_fd_sc_hd__and4_1
      129  484.214      129  484.214   sky130_fd_sc_hd__buf_1
