[WARN] synth__canonical_netlist__hash differs test: 2e75b25be8e5a7e88cdf2b3a483c9bb05aa77354 == 0d441c6dac63d1d618655898f232573a121554ab
[WARN] synth__netlist__hash differs test: 1c0f31d55e53b1392ca7d037aed9ca1338bd00f8 == e598d077042e416747a790b1a77de09f8600deb2
[INFO] synth__design__instance__area__stdcell pass test: 3981.61 <= 4470
[INFO] constraints__clocks__count pass test: 2 == 2
[INFO] placeopt__design__instance__area pass test: 5488.91 <= 6112
[INFO] placeopt__design__instance__count__stdcell pass test: 630 <= 715
[INFO] detailedplace__design__violations pass test: 0 == 0
[INFO] cts__design__instance__count__setup_buffer pass test: 36 <= 62
[INFO] cts__design__instance__count__hold_buffer pass test: 0 <= 54
[INFO] cts__timing__setup__ws pass test: -0.242086 >= -0.358
[INFO] cts__timing__setup__tns pass test: -7.26223 >= -12
[INFO] cts__timing__hold__ws pass test: 0.156745 >= -0.07
[INFO] cts__timing__hold__tns pass test: 0 >= -0.28
[INFO] globalroute__antenna_diodes_count pass test: 0 <= 100
[INFO] globalroute__timing__setup__ws pass test: -0.377676 >= -1
[INFO] globalroute__timing__setup__tns pass test: -13.7339 >= -25
[INFO] globalroute__timing__hold__ws pass test: 0.19865 >= -0.07
[INFO] globalroute__timing__hold__tns pass test: 0 >= -0.28
[INFO] detailedroute__route__wirelength pass test: 12538 <= 18000
[INFO] detailedroute__route__drc_errors pass test: 0 <= 0
[INFO] detailedroute__antenna__violating__nets pass test: 0 <= 0
[INFO] detailedroute__antenna_diodes_count pass test: 0 <= 100
[INFO] finish__timing__setup__ws pass test: -0.295631 >= -1
[INFO] finish__timing__setup__tns pass test: -9.65714 >= -23
[INFO] finish__timing__hold__ws pass test: 0.169921 >= -0.07
[INFO] finish__timing__hold__tns pass test: 0 >= -0.28
[INFO] finish__design__instance__area pass test: 6363.23 <= 7136
Metadata check warnings: 2
All metadata rules passed (27 rules)
